Time (EDT),AAPL,AMZN,GOOG,MSFT
2024-06-12 12:43:00,215.6900024,187.1349945,178.0699005,438.4049988
2024-06-12 12:44:00,215.8950043,187.0749969,178.0399933,438.5299988
2024-06-12 12:45:00,216.0700073,187.0800018,178.1600037,438.6900024
2024-06-12 12:46:00,216.0500031,186.9450073,178.2523041,438.6900024
2024-06-12 12:47:00,216.2577972,186.9550018,178.3399963,438.7799988
2024-06-12 12:48:00,216.0950012,186.9694977,178.3800049,438.8099976
2024-06-12 12:49:00,216.0023956,186.9602051,178.3652039,438.8900146
2024-06-12 12:50:00,215.8309937,186.8600006,178.3099976,439.0100098
2024-06-12 12:51:00,215.9698944,186.8800049,178.3350067,439
2024-06-12 12:52:00,215.7200012,186.8699951,178.3000031,438.9899902
2024-06-12 12:53:00,215.9100037,186.9799957,178.3399963,438.9200134
2024-06-12 12:54:00,215.9600067,186.9400024,178.2400055,438.7399902
2024-06-12 12:55:00,215.7884979,186.9900055,178.3099976,438.8200073
2024-06-12 12:56:00,215.746994,186.9600067,178.3800049,438.9899902
2024-06-12 12:57:00,215.6300049,186.9799957,178.3305054,439.1749878
2024-06-12 12:58:00,215.7149963,186.9600067,178.3000031,439.2799988
2024-06-12 12:59:00,215.8256989,186.9114075,178.3800049,439.2799988
2024-06-12 13:00:00,215.625,186.9389954,178.3800049,439.4100037
2024-06-12 13:01:00,215.9299927,186.9900055,178.4400024,439.6899109
2024-06-12 13:02:00,215.8849945,186.9996948,178.4600067,439.6400146
2024-06-12 13:03:00,215.8549957,187.0500031,178.454895,439.748291
2024-06-12 13:04:00,215.9900055,187.0399933,178.4499969,439.5050049
2024-06-12 13:05:00,215.8500061,187.0099945,178.4900055,439.519989
2024-06-12 13:06:00,215.9199982,186.8999939,178.4600067,439.519989
2024-06-12 13:07:00,216.1100006,186.8450012,178.4001007,439.7099915
2024-06-12 13:08:00,216.0240936,186.9250031,178.5,439.6199951
2024-06-12 13:09:00,216.2100067,186.9100952,178.4828033,439.6300049
2024-06-12 13:10:00,216.2418976,186.9649963,178.5500031,439.6499939
